lineup,team,opponent,month,dayofmonth,minutes,points
C. Anthony | J. Calderon | L. Galloway | A. Stoudemire | L. Thomas,NYK,BRK,2,6,0.8,180.0
Q. Acy | C. Aldrich | L. Galloway | T. Hardaway | S. Larkin,NYK,IND,4,8,3.2,45.0
C. Anthony | J. Calderon | J. Smith | J. Smith | A. Stoudemire,NYK,NOP,12,9,0.1,1440.0
Q. Acy | C. Anthony | P. Prigioni | J. Smith | T. Wear,NYK,DEN,11,16,2.6,55.3846153846
C. Aldrich | J. Calderon | C. Early | J. Smith | J. Smith,NYK,MIL,1,4,1.9,75.7894736842
C. Anthony | J. Calderon | L. Galloway | J. Smith | L. Thomas,NYK,MIL,1,15,4.0,36.0
C. Anthony | J. Calderon | T. Hardaway | S. Larkin | A. Stoudemire,NYK,MIA,11,30,3.6,40.0
J. Calderon | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,WAS,1,7,1.5,96.0
Q. Acy | C. Aldrich | C. Anthony | T. Hardaway | P. Prigioni,NYK,CLE,10,30,0.8,120.0
J. Calderon | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,TOR,12,21,3.6,26.6666666667
A. Bargnani | C. Early | S. Larkin | P. Prigioni | A. Stoudemire,NYK,ORL,2,11,4.6,20.8695652174
C. Anthony | P. Prigioni | I. Shumpert | J. Smith | A. Stoudemire,NYK,WAS,11,4,6.3,15.2380952381
C. Anthony | S. Larkin | I. Shumpert | J. Smith | A. Stoudemire,NYK,MIL,11,18,0.6,160.0
Q. Acy | S. Larkin | A. Shved | J. Smith | L. Thomas,NYK,PHI,3,20,4.0,24.0
C. Early | L. Galloway | S. Larkin | J. Smith | L. Thomas,NYK,BRK,4,1,6.1,15.737704918
Q. Acy | T. Hardaway | S. Larkin | I. Shumpert | A. Stoudemire,NYK,BOS,12,12,2.8,34.2857142857
Q. Acy | C. Anthony | P. Prigioni | I. Shumpert | J. Smith,NYK,CHO,11,2,0.8,120.0
A. Bargnani | L. Galloway | S. Larkin | A. Shved | J. Smith,NYK,MIN,3,19,0.9,106.666666667
C. Aldrich | J. Calderon | T. Hardaway | S. Larkin | J. Smith,NYK,ORL,2,11,2.0,48.0
C. Anthony | T. Hardaway | I. Shumpert | A. Stoudemire | T. Wear,NYK,BRK,11,7,1.5,64.0
J. Calderon | T. Hardaway | J. Smith | A. Stoudemire | T. Wear,NYK,CHI,12,18,0.9,106.666666667
C. Aldrich | C. Anthony | J. Calderon | P. Prigioni | A. Stoudemire,NYK,BRK,12,2,2.0,48.0
C. Aldrich | L. Galloway | R. Ledo | J. Smith | L. Thomas,NYK,MEM,3,23,2.1,45.7142857143
Q. Acy | L. Galloway | T. Hardaway | J. Smith | L. Thomas,NYK,BOS,2,3,0.6,160.0
L. Amundson | C. Anthony | J. Calderon | T. Hardaway | L. Thomas,NYK,OKC,1,28,1.1,87.2727272727
Q. Acy | C. Aldrich | J. Calderon | P. Prigioni | T. Wear,NYK,MEM,1,5,1.8,53.3333333333
C. Anthony | S. Larkin | J. Smith | J. Smith | A. Stoudemire,NYK,HOU,11,24,2.2,43.6363636364
C. Aldrich | A. Bargnani | L. Galloway | T. Hardaway | L. Thomas,NYK,PHO,3,15,1.4,68.5714285714
C. Aldrich | L. Galloway | A. Shved | J. Smith | T. Wear,NYK,PHO,3,15,1.1,87.2727272727
C. Aldrich | L. Galloway | T. Hardaway | S. Larkin | J. Smith,NYK,WAS,1,7,2.0,48.0
L. Amundson | L. Galloway | A. Shved | L. Thomas | T. Wear,NYK,SAS,3,17,0.1,960.0
Q. Acy | J. Calderon | T. Hardaway | A. Stoudemire | T. Wear,NYK,CHI,12,18,2.1,45.7142857143
C. Anthony | J. Calderon | T. Hardaway | J. Smith | L. Thomas,NYK,PHI,1,21,1.7,56.4705882353
Q. Acy | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,OKC,1,28,4.2,22.8571428571
Q. Acy | C. Anthony | J. Calderon | P. Prigioni | J. Smith,NYK,TOR,12,14,1.5,64.0
Q. Acy | C. Anthony | J. Calderon | S. Dalembert | J. Smith,NYK,CLE,12,4,1.5,64.0
C. Anthony | S. Larkin | P. Prigioni | J. Smith | T. Wear,NYK,UTA,11,14,0.2,480.0
C. Anthony | T. Hardaway | P. Prigioni | J. Smith | T. Wear,NYK,MIL,11,18,0.7,137.142857143
C. Early | L. Galloway | R. Ledo | J. Smith | L. Thomas,NYK,LAC,3,25,3.1,30.9677419355
C. Aldrich | J. Calderon | T. Hardaway | S. Larkin | A. Stoudemire,NYK,CHI,12,18,6.6,14.5454545455
L. Amundson | A. Bargnani | L. Galloway | S. Larkin | L. Thomas,NYK,TOR,3,22,7.3,13.1506849315
Q. Acy | C. Anthony | J. Calderon | I. Shumpert | A. Stoudemire,NYK,CLE,12,4,11.3,8.49557522124
C. Aldrich | L. Galloway | T. Hardaway | J. Smith | T. Wear,NYK,CLE,2,22,3.4,28.2352941176
Q. Acy | C. Anthony | S. Larkin | J. Smith | A. Stoudemire,NYK,DEN,11,16,4.5,21.3333333333
C. Aldrich | L. Galloway | S. Larkin | R. Ledo | L. Thomas,NYK,DET,4,15,5.3,18.1132075472
C. Anthony | J. Calderon | T. Hardaway | J. Smith | A. Stoudemire,NYK,WAS,12,25,2.3,41.7391304348
Q. Acy | C. Aldrich | L. Galloway | S. Larkin | L. Thomas,NYK,LAC,3,25,0.8,120.0
Q. Acy | C. Aldrich | C. Early | I. Shumpert | T. Wear,NYK,CHI,10,29,0.6,160.0
C. Aldrich | C. Anthony | S. Larkin | J. Smith | T. Wear,NYK,CLE,10,30,1.6,60.0
Q. Acy | A. Bargnani | L. Galloway | T. Hardaway | R. Ledo,NYK,PHI,4,5,0.9,106.666666667
J. Calderon | L. Galloway | J. Smith | A. Stoudemire | L. Thomas,NYK,GSW,2,7,3.0,32.0
C. Aldrich | A. Bargnani | C. Early | L. Galloway | A. Shved,NYK,IND,3,7,2.3,41.7391304348
L. Amundson | A. Bargnani | L. Galloway | A. Shved | L. Thomas,NYK,PHI,3,20,5.9,16.2711864407
Q. Acy | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,BOS,2,3,2.1,45.7142857143
A. Bargnani | J. Calderon | T. Hardaway | J. Smith | T. Wear,NYK,CLE,2,22,1.9,50.5263157895
Q. Acy | J. Calderon | L. Galloway | A. Stoudemire | L. Thomas,NYK,GSW,2,7,2.7,35.5555555556
Q. Acy | C. Aldrich | C. Anthony | J. Calderon | P. Prigioni,NYK,BRK,12,2,0.7,137.142857143
C. Anthony | S. Dalembert | P. Prigioni | J. Smith | A. Stoudemire,NYK,POR,12,7,2.7,35.5555555556
Q. Acy | C. Aldrich | S. Larkin | I. Shumpert | J. Smith,NYK,CLE,10,30,2.0,48.0
L. Amundson | A. Bargnani | C. Early | L. Galloway | S. Larkin,NYK,DET,2,27,2.7,35.5555555556
Q. Acy | J. Calderon | T. Hardaway | S. Larkin | A. Stoudemire,NYK,TOR,12,14,0.1,960.0
Q. Acy | C. Aldrich | C. Early | L. Galloway | R. Ledo,NYK,CHI,3,28,5.9,16.2711864407
Q. Acy | L. Amundson | C. Anthony | L. Galloway | T. Hardaway,NYK,LAL,2,1,3.2,30.0
C. Aldrich | A. Bargnani | C. Early | L. Galloway | A. Shved,NYK,UTA,3,10,3.5,27.4285714286
Q. Acy | A. Bargnani | L. Galloway | T. Hardaway | A. Shved,NYK,BOS,2,25,1.7,56.4705882353
Q. Acy | C. Anthony | J. Calderon | T. Hardaway | A. Stoudemire,NYK,BOS,12,12,2.0,48.0
Q. Acy | C. Aldrich | C. Early | T. Hardaway | S. Larkin,NYK,DET,11,5,3.0,32.0
Q. Acy | C. Anthony | J. Calderon | I. Shumpert | J. Smith,NYK,NOP,12,9,2.4,40.0
Q. Acy | C. Aldrich | L. Galloway | T. Hardaway | L. Thomas,NYK,MIA,2,9,0.6,160.0
L. Amundson | L. Galloway | A. Shved | J. Smith | L. Thomas,NYK,IND,3,4,1.6,60.0
J. Calderon | S. Dalembert | S. Larkin | I. Shumpert | J. Smith,NYK,SAS,12,10,0.5,192.0
L. Amundson | C. Early | L. Galloway | T. Hardaway | J. Smith,NYK,IND,3,4,1.1,87.2727272727
C. Aldrich | A. Bargnani | L. Galloway | T. Hardaway | L. Thomas,NYK,MIA,2,20,3.0,32.0
C. Aldrich | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,LAL,3,12,1.7,56.4705882353
L. Amundson | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,BRK,2,6,0.8,120.0
C. Anthony | J. Calderon | P. Prigioni | A. Stoudemire | T. Wear,NYK,WAS,12,25,0.6,160.0
Q. Acy | L. Amundson | L. Galloway | A. Shved | L. Thomas,NYK,MIN,3,19,1.6,60.0
Q. Acy | L. Galloway | T. Hardaway | J. Smith | L. Thomas,NYK,MIL,4,10,0.5,192.0
Q. Acy | C. Aldrich | T. Hardaway | S. Larkin | P. Prigioni,NYK,CHI,12,18,5.7,16.8421052632
A. Bargnani | J. Calderon | T. Hardaway | S. Larkin | J. Smith,NYK,ORL,2,11,3.5,27.4285714286
C. Aldrich | A. Bargnani | C. Early | L. Galloway | T. Hardaway,NYK,LAL,3,12,0.3,320.0
Q. Acy | C. Aldrich | J. Calderon | P. Prigioni | T. Wear,NYK,WAS,1,7,2.7,35.5555555556
A. Bargnani | T. Hardaway | S. Larkin | A. Shved | J. Smith,NYK,DET,2,27,0.5,192.0
C. Anthony | T. Hardaway | S. Larkin | P. Prigioni | A. Stoudemire,NYK,BRK,12,2,0.4,240.0
C. Anthony | J. Calderon | L. Galloway | A. Stoudemire | L. Thomas,NYK,NOP,1,19,0.7,137.142857143
C. Aldrich | L. Galloway | T. Hardaway | R. Ledo | L. Thomas,NYK,DET,4,15,1.8,53.3333333333
C. Anthony | J. Calderon | T. Hardaway | J. Smith | L. Thomas,NYK,BOS,2,3,0.7,137.142857143
L. Amundson | A. Bargnani | L. Galloway | T. Hardaway | A. Shved,NYK,LAL,3,12,3.3,29.0909090909
C. Anthony | L. Galloway | T. Hardaway | J. Smith | L. Thomas,NYK,OKC,1,28,2.8,34.2857142857
Q. Acy | C. Aldrich | C. Anthony | P. Prigioni | J. Smith,NYK,CLE,10,30,0.4,240.0
Q. Acy | J. Calderon | L. Galloway | P. Prigioni | T. Wear,NYK,HOU,1,8,2.5,38.4
A. Bargnani | L. Galloway | A. Shved | J. Smith | L. Thomas,NYK,IND,3,7,3.2,30.0
Q. Acy | C. Anthony | J. Calderon | J. Smith | A. Stoudemire,NYK,MIA,11,30,0.9,106.666666667
A. Bargnani | C. Early | L. Galloway | S. Larkin | L. Thomas,NYK,DEN,3,9,0.9,106.666666667
C. Anthony | T. Hardaway | S. Larkin | P. Prigioni | A. Stoudemire,NYK,TOR,12,14,2.1,45.7142857143
C. Early | L. Galloway | T. Hardaway | J. Smith | L. Thomas,NYK,IND,1,29,1.7,56.4705882353
C. Anthony | T. Hardaway | P. Prigioni | J. Smith | A. Stoudemire,NYK,NOP,12,9,0.9,106.666666667
L. Amundson | L. Galloway | S. Larkin | A. Shved | J. Smith,NYK,SAS,3,17,0.3,320.0
C. Aldrich | C. Anthony | J. Calderon | L. Galloway | L. Thomas,NYK,MIL,1,15,5.6,17.1428571429
C. Anthony | S. Dalembert | S. Larkin | I. Shumpert | J. Smith,NYK,UTA,11,14,0.9,106.666666667
Q. Acy | A. Bargnani | C. Early | S. Larkin | A. Shved,NYK,IND,3,7,0.1,960.0
L. Amundson | A. Bargnani | S. Larkin | A. Shved | L. Thomas,NYK,UTA,3,10,2.4,40.0
L. Amundson | C. Anthony | L. Galloway | T. Hardaway | L. Thomas,NYK,BRK,2,6,1.7,56.4705882353
C. Aldrich | C. Anthony | L. Galloway | P. Prigioni | J. Smith,NYK,ORL,1,23,4.3,22.3255813953
C. Anthony | J. Calderon | L. Galloway | J. Smith | L. Thomas,NYK,OKC,1,28,0.8,120.0
C. Aldrich | C. Anthony | P. Prigioni | J. Smith | J. Smith,NYK,CLE,10,30,1.2,80.0
Q. Acy | C. Anthony | J. Calderon | J. Smith | A. Stoudemire,NYK,PHI,11,22,2.3,41.7391304348
C. Anthony | P. Prigioni | I. Shumpert | J. Smith | A. Stoudemire,NYK,PHI,11,22,1.6,60.0
S. Dalembert | S. Larkin | P. Prigioni | J. Smith | A. Stoudemire,NYK,CHO,11,2,1.7,56.4705882353
Q. Acy | C. Anthony | S. Larkin | P. Prigioni | A. Stoudemire,NYK,TOR,12,14,2.1,45.7142857143
Q. Acy | C. Early | L. Galloway | S. Larkin | J. Smith,NYK,ORL,2,11,0.9,106.666666667
Q. Acy | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,POR,12,28,2.1,45.7142857143
C. Aldrich | C. Anthony | J. Calderon | T. Hardaway | J. Smith,NYK,WAS,12,25,8.0,12.0
Q. Acy | C. Aldrich | I. Shumpert | J. Smith | T. Wear,NYK,CHI,10,29,2.9,33.1034482759
Q. Acy | C. Anthony | S. Larkin | I. Shumpert | J. Smith,NYK,CLE,10,30,1.7,56.4705882353
Q. Acy | C. Aldrich | C. Early | L. Galloway | T. Hardaway,NYK,MIA,2,20,1.8,53.3333333333
L. Amundson | L. Galloway | T. Hardaway | S. Larkin | J. Smith,NYK,DET,2,27,2.2,43.6363636364
C. Aldrich | L. Galloway | T. Hardaway | J. Smith | L. Thomas,NYK,TOR,2,28,1.1,87.2727272727
Q. Acy | J. Calderon | S. Dalembert | T. Hardaway | J. Smith,NYK,DAL,11,26,1.1,87.2727272727
C. Anthony | P. Prigioni | I. Shumpert | J. Smith | A. Stoudemire,NYK,PHI,11,22,2.0,48.0
Q. Acy | T. Hardaway | S. Larkin | J. Smith | A. Stoudemire,NYK,BRK,11,7,1.4,68.5714285714
Q. Acy | J. Calderon | T. Hardaway | P. Prigioni | J. Smith,NYK,MEM,1,5,2.4,40.0
Q. Acy | J. Calderon | T. Hardaway | S. Larkin | J. Smith,NYK,SAS,12,10,0.3,320.0
C. Anthony | J. Calderon | L. Galloway | A. Stoudemire | L. Thomas,NYK,PHI,1,21,1.4,68.5714285714
C. Aldrich | L. Galloway | S. Larkin | A. Shved | J. Smith,NYK,IND,3,7,0.4,120.0
Q. Acy | C. Aldrich | C. Anthony | P. Prigioni | J. Smith,NYK,UTA,11,14,4.4,10.9090909091
C. Anthony | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,OKC,1,28,0.6,80.0
L. Amundson | L. Galloway | S. Larkin | R. Ledo | L. Thomas,NYK,WAS,4,3,0.3,160.0
C. Anthony | J. Calderon | T. Hardaway | J. Smith | A. Stoudemire,NYK,CLE,12,4,0.5,96.0
Q. Acy | J. Calderon | P. Prigioni | J. Smith | T. Wear,NYK,DAL,12,16,2.8,17.1428571429
L. Amundson | T. Hardaway | S. Larkin | A. Shved | J. Smith,NYK,DET,2,27,0.0,inf
Q. Acy | C. Aldrich | T. Hardaway | S. Larkin | J. Smith,NYK,MIL,1,4,1.3,36.9230769231
Q. Acy | C. Aldrich | J. Calderon | T. Hardaway | P. Prigioni,NYK,OKC,11,28,0.2,240.0
C. Aldrich | S. Larkin | P. Prigioni | J. Smith | T. Wear,NYK,SAC,12,27,1.2,40.0
Q. Acy | S. Dalembert | T. Hardaway | P. Prigioni | T. Wear,NYK,DEN,11,16,1.0,48.0
Q. Acy | C. Early | T. Hardaway | J. Smith | T. Wear,NYK,MIL,1,4,2.2,21.8181818182
Q. Acy | C. Anthony | J. Calderon | I. Shumpert | J. Smith,NYK,PHI,11,22,1.6,30.0
S. Larkin | P. Prigioni | J. Smith | J. Smith | A. Stoudemire,NYK,DAL,11,26,0.2,240.0
C. Aldrich | C. Anthony | S. Larkin | I. Shumpert | J. Smith,NYK,DET,11,5,5.8,8.27586206897
C. Anthony | J. Calderon | S. Dalembert | T. Hardaway | J. Smith,NYK,PHO,12,20,1.3,36.9230769231
Q. Acy | C. Anthony | J. Calderon | S. Dalembert | I. Shumpert,NYK,BOS,12,12,2.4,20.0
C. Anthony | J. Calderon | P. Prigioni | I. Shumpert | A. Stoudemire,NYK,CHO,12,5,2.1,22.8571428571
J. Calderon | T. Hardaway | P. Prigioni | J. Smith | A. Stoudemire,NYK,OKC,11,28,0.5,96.0
C. Aldrich | J. Calderon | T. Hardaway | S. Larkin | T. Wear,NYK,TOR,12,21,0.0,inf
C. Early | L. Galloway | T. Hardaway | A. Shved | J. Smith,NYK,LAL,3,12,0.3,160.0
C. Aldrich | A. Bargnani | L. Galloway | A. Shved | L. Thomas,NYK,SAS,3,17,2.6,18.4615384615
Q. Acy | L. Galloway | S. Larkin | J. Smith | L. Thomas,NYK,PHI,4,5,0.6,80.0
C. Aldrich | T. Hardaway | P. Prigioni | I. Shumpert | J. Smith,NYK,WAS,11,4,0.4,120.0
L. Amundson | C. Early | L. Galloway | A. Shved | J. Smith,NYK,DEN,3,9,0.7,68.5714285714
C. Anthony | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,PHI,1,21,1.8,26.6666666667
C. Aldrich | S. Larkin | A. Shved | J. Smith | L. Thomas,NYK,UTA,3,10,1.4,34.2857142857
Q. Acy | C. Aldrich | T. Hardaway | P. Prigioni | T. Wear,NYK,CLE,10,30,0.4,120.0
Q. Acy | C. Early | L. Galloway | S. Larkin | J. Smith,NYK,WAS,1,7,0.2,240.0
C. Anthony | J. Calderon | S. Larkin | A. Stoudemire | T. Wear,NYK,MIL,1,15,1.2,40.0
Q. Acy | C. Aldrich | C. Anthony | J. Calderon | P. Prigioni,NYK,WAS,12,25,1.2,40.0
C. Aldrich | L. Galloway | S. Larkin | J. Smith | L. Thomas,NYK,LAC,3,25,3.5,13.7142857143
L. Amundson | T. Hardaway | S. Larkin | R. Ledo | L. Thomas,NYK,DET,4,15,1.8,26.6666666667
C. Anthony | S. Dalembert | T. Hardaway | S. Larkin | P. Prigioni,NYK,SAC,12,27,2.1,22.8571428571
A. Bargnani | C. Early | L. Galloway | S. Larkin | L. Thomas,NYK,BOS,3,27,5.6,8.57142857143
Q. Acy | T. Hardaway | S. Larkin | A. Stoudemire | L. Thomas,NYK,CHO,1,24,1.7,28.2352941176
Q. Acy | C. Anthony | J. Calderon | T. Hardaway | A. Stoudemire,NYK,TOR,12,14,13.0,3.69230769231
L. Amundson | J. Calderon | L. Galloway | T. Hardaway | T. Wear,NYK,MIL,1,15,5.9,8.13559322034
Q. Acy | C. Early | L. Galloway | S. Larkin | J. Smith,NYK,BOS,3,27,4.0,12.0
C. Aldrich | C. Anthony | J. Calderon | J. Smith | J. Smith,NYK,CHO,12,5,0.7,68.5714285714
T. Hardaway | P. Prigioni | J. Smith | J. Smith | A. Stoudemire,NYK,CHO,11,2,10.5,4.57142857143
J. Calderon | S. Dalembert | I. Shumpert | J. Smith | A. Stoudemire,NYK,OKC,11,28,8.5,5.64705882353
C. Aldrich | C. Anthony | J. Calderon | S. Larkin | A. Stoudemire,NYK,BRK,12,2,1.9,25.2631578947
Q. Acy | L. Amundson | C. Early | L. Galloway | T. Hardaway,NYK,DET,4,15,0.8,60.0
Q. Acy | L. Amundson | A. Bargnani | S. Larkin | A. Shved,NYK,DET,2,27,0.8,60.0
C. Anthony | A. Bargnani | L. Galloway | S. Larkin | A. Stoudemire,NYK,MIA,2,9,0.5,96.0
A. Bargnani | L. Galloway | T. Hardaway | A. Shved | L. Thomas,NYK,TOR,2,28,0.8,60.0
Q. Acy | T. Hardaway | P. Prigioni | A. Stoudemire | T. Wear,NYK,DET,11,5,2.4,20.0
L. Amundson | J. Calderon | T. Hardaway | L. Thomas | T. Wear,NYK,MIA,2,20,0.6,80.0
L. Amundson | A. Bargnani | C. Early | T. Hardaway | S. Larkin,NYK,TOR,2,28,2.6,18.4615384615
Q. Acy | J. Calderon | T. Hardaway | I. Shumpert | A. Stoudemire,NYK,DAL,11,26,0.8,60.0
L. Amundson | A. Bargnani | L. Galloway | S. Larkin | L. Thomas,NYK,DEN,3,9,0.4,120.0
C. Anthony | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,TOR,12,21,0.3,160.0
C. Aldrich | C. Anthony | J. Calderon | T. Hardaway | T. Wear,NYK,PHO,12,20,0.9,53.3333333333
Q. Acy | L. Amundson | L. Galloway | S. Larkin | R. Ledo,NYK,MIL,4,10,0.4,120.0
C. Anthony | P. Prigioni | I. Shumpert | A. Stoudemire | T. Wear,NYK,MIN,11,19,1.9,25.2631578947
C. Anthony | L. Galloway | S. Larkin | J. Smith | A. Stoudemire,NYK,MIA,2,9,2.3,20.8695652174
A. Bargnani | C. Early | L. Galloway | T. Hardaway | T. Wear,NYK,MIA,2,20,4.0,12.0
Q. Acy | J. Calderon | T. Hardaway | I. Shumpert | A. Stoudemire,NYK,SAS,12,10,10.8,4.44444444444
C. Aldrich | T. Hardaway | S. Larkin | P. Prigioni | T. Wear,NYK,SAC,12,27,3.7,12.972972973
Q. Acy | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,GSW,3,14,1.2,40.0
C. Anthony | S. Dalembert | S. Larkin | J. Smith | A. Stoudemire,NYK,DEN,11,16,0.3,160.0
Q. Acy | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,DAL,12,16,2.7,17.7777777778
Q. Acy | C. Anthony | L. Galloway | T. Hardaway | L. Thomas,NYK,IND,1,29,1.0,48.0
C. Aldrich | S. Larkin | A. Shved | J. Smith | T. Wear,NYK,PHO,3,15,2.3,20.8695652174
Q. Acy | L. Galloway | T. Hardaway | R. Ledo | J. Smith,NYK,WAS,4,3,5.7,8.42105263158
C. Anthony | S. Dalembert | T. Hardaway | I. Shumpert | J. Smith,NYK,BRK,11,7,3.2,15.0
C. Anthony | P. Prigioni | J. Smith | J. Smith | A. Stoudemire,NYK,ORL,11,12,1.2,40.0
C. Anthony | S. Dalembert | S. Larkin | J. Smith | T. Wear,NYK,UTA,11,14,2.3,20.8695652174
C. Aldrich | C. Anthony | S. Larkin | I. Shumpert | J. Smith,NYK,CHO,11,2,0.7,68.5714285714
C. Aldrich | J. Calderon | C. Early | T. Hardaway | T. Wear,NYK,MEM,1,5,0.9,53.3333333333
T. Hardaway | S. Larkin | J. Smith | J. Smith | A. Stoudemire,NYK,HOU,11,24,1.7,28.2352941176
C. Aldrich | C. Anthony | T. Hardaway | I. Shumpert | T. Wear,NYK,BRK,11,7,2.0,24.0
C. Aldrich | A. Bargnani | L. Galloway | A. Shved | L. Thomas,NYK,TOR,3,22,5.4,8.88888888889
L. Galloway | T. Hardaway | P. Prigioni | J. Smith | A. Stoudemire,NYK,ORL,2,11,1.2,40.0
Q. Acy | C. Anthony | S. Larkin | I. Shumpert | J. Smith,NYK,ATL,11,8,1.2,40.0
S. Dalembert | S. Larkin | P. Prigioni | J. Smith | T. Wear,NYK,SAC,12,27,0.4,120.0
Q. Acy | C. Anthony | S. Dalembert | S. Larkin | J. Smith,NYK,CHO,12,5,0.7,68.5714285714
C. Aldrich | T. Hardaway | S. Larkin | J. Smith | T. Wear,NYK,POR,12,28,1.6,30.0
C. Aldrich | L. Galloway | S. Larkin | P. Prigioni | J. Smith,NYK,CHO,1,10,0.6,80.0
J. Calderon | P. Prigioni | J. Smith | J. Smith | A. Stoudemire,NYK,OKC,11,28,0.9,53.3333333333
J. Calderon | T. Hardaway | P. Prigioni | J. Smith | T. Wear,NYK,TOR,12,21,0.7,68.5714285714
T. Hardaway | I. Shumpert | J. Smith | J. Smith | A. Stoudemire,NYK,ORL,11,12,3.6,13.3333333333
T. Hardaway | S. Larkin | P. Prigioni | J. Smith | A. Stoudemire,NYK,DEN,11,16,0.2,240.0
Q. Acy | C. Early | T. Hardaway | S. Larkin | T. Wear,NYK,MIL,1,4,2.8,17.1428571429
Q. Acy | T. Hardaway | P. Prigioni | A. Stoudemire | T. Wear,NYK,DEN,11,16,1.3,36.9230769231
A. Bargnani | L. Galloway | S. Larkin | J. Smith | L. Thomas,NYK,PHO,3,15,1.0,48.0
C. Aldrich | T. Hardaway | A. Shved | J. Smith | L. Thomas,NYK,TOR,2,28,1.0,48.0
T. Hardaway | P. Prigioni | I. Shumpert | J. Smith | T. Wear,NYK,MIL,11,18,3.6,13.3333333333
Q. Acy | A. Bargnani | C. Early | L. Galloway | T. Hardaway,NYK,IND,3,7,0.2,240.0
L. Amundson | J. Calderon | S. Larkin | P. Prigioni | L. Thomas,NYK,MIL,1,15,0.6,80.0
Q. Acy | C. Early | S. Larkin | R. Ledo | L. Thomas,NYK,LAC,3,25,1.7,28.2352941176
C. Aldrich | A. Bargnani | S. Larkin | A. Shved | L. Thomas,NYK,SAC,3,3,0.4,120.0
A. Bargnani | S. Larkin | A. Shved | J. Smith | T. Wear,NYK,PHI,3,20,1.3,36.9230769231
Q. Acy | L. Galloway | R. Ledo | J. Smith | L. Thomas,NYK,LAC,3,25,1.7,28.2352941176
C. Anthony | J. Calderon | T. Hardaway | A. Stoudemire | L. Thomas,NYK,PHI,1,21,1.1,43.6363636364
L. Amundson | C. Anthony | J. Calderon | L. Galloway | S. Larkin,NYK,BOS,2,3,1.6,30.0
L. Amundson | A. Bargnani | T. Hardaway | S. Larkin | L. Thomas,NYK,DET,2,27,0.1,480.0
Q. Acy | C. Anthony | J. Calderon | T. Hardaway | A. Stoudemire,NYK,MIA,11,30,2.4,20.0
L. Amundson | C. Anthony | J. Calderon | L. Galloway | L. Thomas,NYK,LAL,2,1,1.7,28.2352941176
L. Amundson | A. Bargnani | L. Galloway | S. Larkin | L. Thomas,NYK,SAS,3,17,2.9,16.5517241379
Q. Acy | A. Bargnani | S. Larkin | R. Ledo | L. Thomas,NYK,BRK,4,1,2.6,18.4615384615
C. Anthony | T. Hardaway | S. Larkin | J. Smith | A. Stoudemire,NYK,DET,11,5,0.9,53.3333333333
C. Anthony | S. Dalembert | S. Larkin | P. Prigioni | J. Smith,NYK,PHO,12,20,2.8,17.1428571429
A. Bargnani | L. Galloway | S. Larkin | J. Smith | T. Wear,NYK,PHO,3,15,0.6,80.0
C. Aldrich | J. Calderon | T. Hardaway | P. Prigioni | J. Smith,NYK,ORL,2,11,2.3,20.8695652174
Q. Acy | C. Anthony | P. Prigioni | J. Smith | A. Stoudemire,NYK,ORL,11,12,0.8,60.0
C. Aldrich | C. Early | L. Galloway | S. Larkin | J. Smith,NYK,LAC,3,25,1.0,48.0
Q. Acy | S. Dalembert | C. Early | S. Larkin | P. Prigioni,NYK,UTA,11,14,0.1,480.0
C. Aldrich | L. Galloway | S. Larkin | J. Smith | L. Thomas,NYK,IND,4,8,3.0,16.0
Q. Acy | C. Anthony | J. Calderon | T. Hardaway | P. Prigioni,NYK,TOR,12,21,1.0,48.0
Q. Acy | C. Anthony | J. Calderon | S. Dalembert | I. Shumpert,NYK,POR,12,7,2.4,20.0
A. Bargnani | S. Larkin | J. Smith | L. Thomas | T. Wear,NYK,PHO,3,15,4.4,10.9090909091
L. Amundson | J. Calderon | L. Galloway | T. Hardaway | J. Smith,NYK,BOS,2,25,17.8,2.69662921348
C. Aldrich | A. Bargnani | L. Galloway | T. Hardaway | L. Thomas,NYK,GSW,3,14,1.4,34.2857142857
C. Anthony | J. Calderon | S. Dalembert | T. Hardaway | J. Smith,NYK,TOR,12,21,1.0,48.0
C. Aldrich | C. Anthony | J. Calderon | P. Prigioni | J. Smith,NYK,LAC,12,31,1.0,48.0
Q. Acy | C. Anthony | S. Dalembert | P. Prigioni | J. Smith,NYK,DEN,11,16,1.5,32.0
A. Bargnani | T. Hardaway | S. Larkin | J. Smith | L. Thomas,NYK,DET,2,27,0.1,480.0
Q. Acy | T. Hardaway | R. Ledo | J. Smith | L. Thomas,NYK,WAS,4,3,0.1,480.0
