feature,importance
FG3M_opt,0.00063034638502
EFG_PCT_opt,0.000627561883157
PCT_UAST_2PM,0.000622771997279
OPP_BLK_opt,0.000613132426973
OPP_OREB_PCT_opt,0.000592199585476
PF_opt,0.000589795431788
OPP_PTS_OFF_TOV_opt,0.000543861959999
AST_TO_opt,0.000535880608934
DREB_PCT,0.000531640304472
OPP_TOV_PCT_opt,0.000526845499318
NET_RATING_opt,0.000496378707821
PCT_AST_3PM,0.000463644732579
PCT_AST_FGM_opt,0.000461421967184
PCT_AST_FGM,0.000440966067859
FTA_opt,0.000435120845701
OPP_PFD_opt,0.000433063693994
PTS_OFF_TOV_opt,0.000425605736707
AST_PCT,0.000385718392666
BLKA_opt,0.000279428433126
PLUS_MINUS_opt,0.000274760496413
AST_PCT_opt,0.000237825089968
PCT_FGA_3PT_opt,0.000177377626649
W_PCT_opt,0.0001341901398
W_opt,0.000114526850583
year,0.0
