lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
K. Bazemore | D. Carroll | A. Horford | P. Millsap | J. Teague,ATL,OKC,3,20,11.5,62.9508196722,-45.9130434783,-40.8447332327
A. Brooks | J. Butler | M. Dunleavy | P. Gasol | T. Gibson,CHI,CHA,3,23,16.5,-64.0,20.3636363636,-22.6424131003
K. Irving | K. Love | T. Mozgov | I. Shumpert | J. Smith,CLE,IND,3,20,3.8,78.3673469387,138.947368421,59.9732945896
R. Hibbert | G. Hill | S. Hill | C. Miles | D. West,IND,CLE,3,20,7.8,-28.6520355167,-55.3846153846,-60.6602874702
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,POR,4,1,20.0,10.9090909091,-33.6,-39.1521953948
M. Conley | M. Gasol | J. Green | C. Lee | Z. Randolph,MEM,OKC,4,3,17.2,-30.6990175817,-11.1627906977,-54.1471366569
R. Hibbert | G. Hill | S. Hill | R. Stuckey | D. West,IND,TOR,3,16,2.3,6.95652173913,104.347826087,35.0374095721
O. Asik | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,MIN,4,13,4.8,6.1935483871,40.0,19.8870008645
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,PHI,4,13,12.4,15.8677685949,11.6129032258,25.3835859149
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,LAL,4,5,21.2,26.7418032787,33.9622641509,44.2539272383
I. Mahinmi | D. Rudez | L. Scola | R. Stuckey | C. Watson,IND,ORL,3,10,5.5,16.7441860466,61.0909090909,30.5270051275
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,DEN,4,1,8.2,32.6530612245,-5.85365853659,-10.9930181464
L. Barbosa | H. Barnes | A. Iguodala | S. Livingston | M. Speights,GSW,UTA,3,21,6.6,5.71428571431,7.27272727273,11.3380376948
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,HOU,4,2,8.9,-10.8155446087,-21.5730337079,-57.0493921808
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,NYK,3,25,21.8,45.9574468085,77.0642201835,46.8710852008
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,ATL,3,22,3.3,-5.71428571428,14.5454545455,13.9235113382
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,HOU,3,29,18.6,42.4778761063,-7.74193548387,-21.1877358836
B. Bogdanovic | J. Jack | J. Johnson | B. Lopez | M. Plumlee,BKN,ATL,4,4,3.4,-60.0,-127.058823529,-67.2921160861
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,PHO,4,12,11.0,0.0,78.5454545455,42.1863551981
D. DeRozan | T. Hansbrough | J. Johnson | G. Vasquez | L. Williams,TOR,MIA,4,11,1.9,43.6363636364,-25.2631578947,2.74279087912
