lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
R. Hibbert | S. Hill | R. Stuckey | C. Watson | D. West,IND,24,9,15,0.375,260.0,96.0,110.5,-14.6,0.605,1.53,17.6,0.229,0.732,0.483,0.155,0.47,0.504,92.3,0.441
K. Irving | L. James | K. Love | S. Marion | A. Varejao,CLE,22,14,8,0.636,257.0,107.2,104.2,3.0,0.722,2.07,21.2,0.259,0.761,0.518,0.144,0.517,0.557,95.07,0.528
M. Brown | J. Johnson | B. Lopez | D. Williams | T. Young,BKN,23,12,11,0.522,256.0,109.9,101.0,8.9,0.519,2.06,16.6,0.268,0.786,0.523,0.109,0.499,0.539,92.9,0.535
K. Caldwell-Pope | A. Drummond | B. Jennings | G. Monroe | K. Singler,DET,24,12,12,0.5,254.0,102.9,97.5,5.4,0.582,1.42,16.9,0.316,0.776,0.542,0.165,0.496,0.52,96.88,0.512
T. Chandler | M. Ellis | J. Nelson | D. Nowitzki | C. Parsons,DAL,21,14,7,0.667,254.0,116.4,103.6,12.9,0.64,2.53,20.4,0.248,0.768,0.507,0.113,0.547,0.583,96.34,0.575
S. Adams | K. Durant | S. Ibaka | A. Roberson | R. Westbrook,OKC,23,15,8,0.652,249.0,109.8,96.4,13.4,0.611,1.54,18.3,0.313,0.819,0.576,0.165,0.527,0.57,97.86,0.577
J. Crawford | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,44,31,13,0.705,245.0,119.1,109.6,9.5,0.641,2.02,18.7,0.238,0.784,0.519,0.125,0.55,0.614,95.4,0.562
M. Gortat | N. Hilario | P. Pierce | G. Temple | J. Wall,WAS,20,12,8,0.6,242.0,96.6,89.1,7.5,0.692,1.47,19.0,0.229,0.779,0.506,0.176,0.484,0.521,97.76,0.595
E. Bledsoe | G. Dragic | M. Morris | M. Morris | M. Plumlee,PHX,26,17,9,0.654,237.0,107.1,102.9,4.2,0.543,1.37,18.1,0.21,0.71,0.486,0.174,0.567,0.592,96.47,0.536
T. Hansbrough | J. Johnson | P. Patterson | G. Vasquez | L. Williams,TOR,39,23,16,0.59,229.0,114.6,96.8,17.7,0.546,1.84,16.9,0.274,0.712,0.492,0.124,0.541,0.578,93.67,0.592
M. Barnes | J. Crawford | B. Griffin | D. Jordan | C. Paul,LAC,45,30,15,0.667,225.0,118.9,104.9,14.0,0.555,2.36,17.6,0.273,0.727,0.506,0.101,0.544,0.584,95.45,0.583
E. Fournier | C. Frye | T. Harris | V. Oladipo | N. Vucevic,ORL,21,8,13,0.381,211.0,98.9,108.0,-9.0,0.543,1.38,16.7,0.148,0.782,0.458,0.155,0.517,0.543,94.38,0.43
O. Asik | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,20,12,8,0.6,210.0,108.4,97.0,11.4,0.617,1.8,19.0,0.32,0.814,0.569,0.149,0.515,0.545,91.94,0.573
O. Asik | L. Babbitt | A. Davis | T. Evans | J. Holiday,NOP,16,9,7,0.563,201.0,100.8,100.9,-0.1,0.612,1.53,18.0,0.276,0.846,0.548,0.163,0.496,0.521,97.36,0.493
H. Barnes | S. Curry | D. Green | M. Speights | K. Thompson,GSW,36,28,8,0.778,201.0,117.5,98.4,19.1,0.658,2.47,21.4,0.239,0.722,0.484,0.122,0.572,0.598,105.16,0.593
M. Barnes | S. Hawes | D. Jordan | C. Paul | J. Redick,LAC,17,11,6,0.647,199.0,113.3,100.7,12.6,0.69,2.23,21.5,0.222,0.764,0.516,0.135,0.574,0.592,95.85,0.563
L. Aldridge | N. Batum | C. Kaman | D. Lillard | W. Matthews,POR,20,11,9,0.55,190.0,100.3,104.6,-4.3,0.613,1.74,17.4,0.242,0.717,0.471,0.136,0.476,0.509,93.06,0.474
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,31,15,16,0.484,187.0,97.4,96.9,0.5,0.595,1.07,15.8,0.311,0.819,0.562,0.2,0.481,0.515,89.89,0.495
K. Caldwell-Pope | A. Drummond | B. Jennings | K. Singler | J. Smith,DET,16,2,14,0.125,185.0,96.4,107.0,-10.6,0.66,1.7,18.0,0.299,0.723,0.495,0.149,0.454,0.478,99.02,0.433
A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,50,43,7,0.86,181.0,122.6,94.3,28.3,0.619,2.04,19.5,0.292,0.743,0.518,0.135,0.576,0.615,101.13,0.626
D. Dedmon | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,17,3,14,0.176,180.0,97.2,103.6,-6.4,0.604,1.58,18.0,0.306,0.75,0.518,0.159,0.465,0.493,95.19,0.47
B. Bogdanovic | K. Garnett | J. Johnson | B. Lopez | D. Williams,BKN,14,6,8,0.429,179.0,105.7,102.2,3.6,0.571,1.65,18.4,0.185,0.772,0.478,0.148,0.532,0.568,92.84,0.519
